probe,Mode,Aperture,TxFrequency_MHz,Location_mm,Focus_mm,Voltage_V,PPP_MPa,PNP_abs_MPa,NumTrials
GE624D,pAM,45.0,15.625,5.0,5.0,2.0,0.4234862890433517,0.4400010705310427,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,3.0,0.662297170145164,0.6795247525380882,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,4.0,0.8989460974203309,0.9165719774929154,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,5.0,1.1318428655494495,1.1304699904398985,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,6.0,1.3531908181696632,1.328676509522374,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,7.0,1.5983381736907356,1.490735570612607,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,8.0,1.839505465176711,1.6318805351895633,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,9.0,2.0520008334530644,1.7682995897825895,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,10.0,2.2851972791907156,1.8431721578957336,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,11.0,2.4983132646942874,1.9193628800302702,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,12.0,2.6865312023262344,2.002481356423272,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,13.0,2.866358914219355,2.0686073926999056,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,14.0,3.040206529335984,2.10409420218186,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,15.0,3.1802810362476177,2.1621920772799315,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,16.0,3.2853704517278786,2.2352155053603417,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,17.0,3.3865918512906212,2.2789400216948152,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,18.0,3.4988027115965252,2.3111942512879353,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,19.0,3.5857524417417035,2.3627642544475838,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,20.0,3.648346040042352,2.419149575989977,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,21.0,3.6766825551933486,2.488189491774999,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,22.0,3.715304496218009,2.5296746666502408,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,23.0,3.755841075455153,2.5550026429918566,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,24.0,3.762641642044887,2.607991242432243,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,25.0,3.7596070802026915,2.67109772700198,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,26.0,3.8049903454063916,2.708788191495421,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,27.0,3.8064689990933367,2.7619632715544262,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,28.0,3.797228889725274,2.800643057992648,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,29.0,3.8468643615865528,2.8017533287700602,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,30.0,3.853472627273725,2.8286438289292293,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,1.6,0.28482547106886585,0.31148943756258046,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,2.0,0.35193973811413065,0.39985742831440296,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,3.0,0.5255263918752351,0.6258728661684739,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,4.0,0.7066959808081715,0.8711646672452872,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,5.0,0.8827808498474035,1.1072511113471677,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,6.0,1.0503631083958538,1.314383918334647,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,7.0,1.2001455181286265,1.5319347347667769,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,8.0,1.3314479341058227,1.7213182335865913,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,9.0,1.4598912187778168,1.9063399187739527,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,10.0,1.5707931723666757,2.0673088792362577,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,11.0,1.6744559348602215,2.227599122788796,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,12.0,1.746072747736056,2.3667267039097655,3.0
